Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id,Cost_sgd
2022-05-06,RJ504,Cairo / Cairo (CAI/HECA),Amman / Queen Alia (AMM/OJAI),13:05:00,15:35:00,2:30:00,Royal Jordanian (RJ/RJA), (),,,0,0,0,,475,118,644,0,276.21
2022-05-06,RJ344,Amman / Queen Alia (AMM/OJAI),Tel Aviv / Ben Gurion (TLV/LLBG),0:00:00,0:00:00,0:23:00, Royal Jordanian, (),,,0,0,0,,118,2962,0,0,63.79
2022-05-10,W64606,Tel Aviv / Ben Gurion (TLV/LLBG),Larnaca / Larnaca (LCA/LCLK),12:40:00,13:45:00,1:05:00,Wizz Air (W6/WZZ),Airbus A321-200 (A321),,,0,0,0,,2962,1572,859,2076,32.21
2022-05-12,W64605,Larnaca / Larnaca (LCA/LCLK),Tel Aviv / Ben Gurion (TLV/LLBG),16:00:00,17:05:00,1:05:00,Wizz Air (W6/WZZ),Airbus A321-200 (A321),,,0,0,0,,1572,2962,859,2076,32.21
2022-05-20,U2 3940,Tel Aviv / Ben Gurion (TLV/LLBG),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,4:00:00,Wizz Air, (),,,0,0,0,,2962,1983,0,0,85
2022-07-14,GF24,Milan / Malpensa (MXP/LIMC),Bahrain / Bahrain (BAH/OBBI),11:45:00,18:45:00,6:00:00,Gulf Air (GF/GFA),Airbus A321LR (A21N),,,0,0,0,,1983,215,324,2181,176.91
2022-07-14,GF165,Bahrain / Bahrain (BAH/OBBI),Singapore / Changi (SIN/WSSS),23:30:00,12:20:00,7:50:00,Gulf Air (GF/GFA),Boeing 787-9 (B789),,,0,0,0,,215,2672,324,2088,261.93
2022-07-25,TR674,Singapore / Changi (SIN/WSSS),Chiang Mai / Chiang Mai (CNX/VTCC),14:40:00,16:40:00,3:00:00,Scoot (TR/TGW),Airbus A321LR (A21N),,,0,0,0,,2672,3642,2695,2181,189.33
2022-07-27,VZ111,Chiang Mai / Chiang Mai (CNX/VTCC),Bangkok / Suvarnabhumi (BKK/VTBS),14:35:00,15:55:00,1:20:00,MyTravel Airways (VZ/MYT),Airbus A320-200 (A320),,,0,0,0,,3642,331,546,2059,45.33
2022-07-29,TR605,Bangkok / Suvarnabhumi (BKK/VTBS),Singapore / Changi (SIN/WSSS),15:25:00,19:00:00,2:35:00,Scoot (TR/TGW),Airbus A321LR (A21N),,,0,0,0,,331,2672,2695,2181,123.33
2022-08-18,TW172,Singapore / Changi (SIN/WSSS),Seoul / Incheon (ICN/RKSI),0:00:00,0:00:00,6:30:00,Trans World Airlines (TW/TWA),Boeing 737 MAX 8 (B38M),,,0,0,0,,2672,3602,1104,2123,167.39
2022-08-23,LJ 565,Pusan / Kimhae (PUS/RKPK),Jeju / Jeju International (CJU/RKPC),0:00:00,0:00:00,0:38:00, Jin Air, (),,,0,0,0,,2425,565,0,0,47.07
2022-08-25,7C112,Jeju / Jeju International (CJU/RKPC),Seoul / Gimpo (GMP/RKSS),11:15:00,12:30:00,1:15:00,Jeju Air (7C/JJA),Boeing 737-800 (B738),,,0,0,0,,565,1010,1090,231,70.53
